scan;Average
0;842.5409547
1;841.9813126
2;849.6846301
3;856.2702864
4;859.5026969
5;857.5207399
6;856.7612888
7;857.5044869
8;853.4275179
9;848.7463246
10;847.7529833
11;843.7595943
12;841.0140095
13;846.6190931
14;848.7178282
15;850.923389
16;851.1212411
17;848.852864
18;851.7998807
19;853.7332697
20;855.4380907
21;856.3780191
22;858.2195227
23;854.7721002
24;852.3480907
25;852.7652745
26;852.1617184
27;844.7611695
28;838.4498807
29;838.2319809
30;836.6356802
31;837.626611
32;845.9569928
33;847.7772792
34;842.3144153
35;843.2497613
36;848.0736038
37;853.4897852
38;852.4029833
39;847.5665632
40;851.2039618
41;849.263031
42;845.8200239
43;846.936611
44;849.4651551
45;850.5721718
46;849.3516945
47;848.6937709
48;850.1530549
49;850.5679475
50;852.1434368
51;853.3818138
52;856.8562053
53;857.4265394
54;856.3590692
55;855.6654893
56;854.2987112
57;854.943747
58;855.9315274
59;852.4111933
60;848.6972076
61;847.1614797
62;844.8782578
63;841.6559427
64;838.712315
65;836.5134606
66;835.5829833
67;835.7116706
68;833.4895943
69;841.6715274
70;849.0690692
71;851.3497852
72;853.9090692
73;851.521432
74;848.4345823
75;852.1742005
76;854.0118616
77;857.6655131
78;853.2222912
79;848.2355131
80;846.0838663
81;846.8883294
82;846.5697852
83;843.688401
84;844.0011456
85;852.9296897
86;858.0053938
87;857.9437947
88;855.0352506
89;852.8086158
90;852.1211456
91;853.3887112
92;851.2727685
93;850.2122673
94;847.3739618
95;842.1461098
96;842.2252506
97;840.4835561
98;842.2107876
99;842.432673
100;841.6188783
